country/territory,date,sexual violence,rate
Albania,2003,NA,NA
Albania,2004,NA,NA
Albania,2005,89,2.832771023
Albania,2006,87,2.756123901
Albania,2007,101,3.186456613
Albania,2008,76,2.388887649
Albania,2009,83,2.599661793
Albania,2010,79,2.46544938
Albania,2011,44,1.368164309
Algeria,2003,NA,NA
Algeria,2004,NA,NA
Algeria,2005,NA,NA
Algeria,2006,3506,10.49953531
Algeria,2007,3905,11.51693011
Algeria,2008,3938,11.43835482
Algeria,2009,4231,12.10580733
Algeria,2010,3795,10.69972297
Algeria,2011,3887,10.80316606
Andorra,2003,NA,NA
Andorra,2004,NA,NA
Andorra,2005,NA,NA
Andorra,2006,NA,NA
Andorra,2007,12,NA
Andorra,2008,13,NA
Andorra,2009,6,NA
Andorra,2010,9,NA
Andorra,2011,NA,NA
Argentina,2003,NA,NA
Argentina,2004,NA,NA
Argentina,2005,NA,NA
Argentina,2006,NA,NA
Argentina,2007,10557,26.81615094
Argentina,2008,10604,26.70071116
Argentina,2009,NA,NA
Argentina,2010,NA,NA
Argentina,2011,NA,NA
Armenia,2003,NA,NA
Armenia,2004,48,1.567289621
Armenia,2005,51,1.663430045
Armenia,2006,52,1.693897149
Armenia,2007,33,1.073456638
Armenia,2008,63,2.046061056
Armenia,2009,73,2.3663046
Armenia,2010,82,2.651943422
Armenia,2011,71,2.290148234
Australia,2003,NA,NA
Australia,2004,NA,NA
Australia,2005,NA,NA
Australia,2006,NA,NA
Australia,2007,NA,NA
Australia,2008,6382,29.6646569
Australia,2009,6343,28.96042881
Australia,2010,6351,28.52025544
Australia,2011,5694,25.1883018
Austria,2003,NA,NA
Austria,2004,2004,24.48215777
Austria,2005,1674,20.33479281
Austria,2006,1738,21.00757046
Austria,2007,1793,21.5769774
Austria,2008,1678,20.11554812
Austria,2009,1682,20.09644621
Austria,2010,1971,23.4820538
Austria,2011,2182,25.93472887
Azerbaijan,2003,NA,NA
Azerbaijan,2004,NA,NA
Azerbaijan,2005,NA,NA
Azerbaijan,2006,NA,NA
Azerbaijan,2007,214,2.426025495
Azerbaijan,2008,223,2.493403104
Azerbaijan,2009,267,2.944873295
Azerbaijan,2010,204,2.220339771
Azerbaijan,2011,NA,NA
Bahamas,2003,NA,NA
Bahamas,2004,NA,NA
Bahamas,2005,439,137.4632857
Bahamas,2006,507,156.4496121
Bahamas,2007,590,179.4071051
Bahamas,2008,557,166.935902
Bahamas,2009,589,174.0759787
Bahamas,2010,309,90.11978056
Bahamas,2011,238,68.55312579
Bahrain,2003,NA,NA
Bahrain,2004,NA,NA
Bahrain,2005,NA,NA
Bahrain,2006,NA,NA
Bahrain,2007,145,15.6632636
Bahrain,2008,175,16.62930616
Bahrain,2009,NA,NA
Bahrain,2010,NA,NA
Bahrain,2011,NA,NA
Barbados,2003,NA,NA
Barbados,2004,NA,NA
Barbados,2005,NA,NA
Barbados,2006,NA,NA
Barbados,2007,NA,NA
Barbados,2008,NA,NA
Barbados,2009,174,63.79468378
Barbados,2010,NA,NA
Barbados,2011,NA,NA
Belarus,2003,NA,NA
Belarus,2004,775,7.85039875
Belarus,2005,819,8.335791323
Belarus,2006,672,6.873398444
Belarus,2007,629,6.46572017
Belarus,2008,492,5.082282358
Belarus,2009,497,5.157733237
Belarus,2010,NA,NA
Belarus,2011,NA,NA
Belgium,2003,5565,54.01282797
Belgium,2004,NA,NA
Belgium,2005,6047,58.0648996
Belgium,2006,6492,61.97617507
Belgium,2007,6506,61.73402976
Belgium,2008,6458,60.9120758
Belgium,2009,6566,61.58932732
Belgium,2010,6729,62.81701401
Belgium,2011,6599,61.36289415
Belize,2003,NA,NA
Belize,2004,NA,NA
Belize,2005,NA,NA
Belize,2006,NA,NA
Belize,2007,NA,NA
Belize,2008,NA,NA
Belize,2009,202,66.14319675
Belize,2010,130,41.71653932
Belize,2011,121,38.05893158
Bolivia (Plurinational State of),2003,NA,NA
Bolivia (Plurinational State of),2004,NA,NA
Bolivia (Plurinational State of),2005,1725,18.8593535
Bolivia (Plurinational State of),2006,1931,20.7485822
Bolivia (Plurinational State of),2007,2397,25.32890326
Bolivia (Plurinational State of),2008,2571,26.72983405
Bolivia (Plurinational State of),2009,2956,30.24523297
Bolivia (Plurinational State of),2010,3944,39.71863016
Bolivia (Plurinational State of),2011,3537,35.0610838
Bosnia and Herzegovina,2003,NA,NA
Bosnia and Herzegovina,2004,NA,NA
Bosnia and Herzegovina,2005,NA,NA
Bosnia and Herzegovina,2006,NA,NA
Bosnia and Herzegovina,2007,176,4.657274849
Bosnia and Herzegovina,2008,170,4.504308769
Bosnia and Herzegovina,2009,89,2.362194484
Bosnia and Herzegovina,2010,147,3.909419547
Bosnia and Herzegovina,2011,167,4.450689031
Brazil,2003,NA,NA
Brazil,2004,NA,NA
Brazil,2005,NA,NA
Brazil,2006,27203,14.47289791
Brazil,2007,29334,15.45537318
Brazil,2008,32270,16.84737112
Brazil,2009,38414,19.8782271
Brazil,2010,46526,23.86603871
Brazil,2011,45288,23.02916111
Bulgaria,2003,1287,16.41557135
Bulgaria,2004,1175,15.08502821
Bulgaria,2005,1037,13.39946493
Bulgaria,2006,911,11.84729346
Bulgaria,2007,764,9.999629595
Bulgaria,2008,749,9.866529176
Bulgaria,2009,726,9.625233704
Bulgaria,2010,696,9.287018509
Bulgaria,2011,649,8.715931151
Burundi,2003,NA,NA
Burundi,2004,NA,NA
Burundi,2005,NA,NA
Burundi,2006,NA,NA
Burundi,2007,NA,NA
Burundi,2008,599,7.540865764
Burundi,2009,700,8.567037003
Burundi,2010,699,8.338453907
Burundi,2011,664,7.743284916
Canada,2003,26128,82.66114732
Canada,2004,25698,80.44802708
Canada,2005,26348,81.61466695
Canada,2006,25242,77.36305327
Canada,2007,24512,74.32984122
Canada,2008,25022,75.07811611
Canada,2009,24821,73.70651758
Canada,2010,26896,79.06729519
Canada,2011,26601,77.44203776
Chile,2003,NA,NA
Chile,2004,NA,NA
Chile,2005,NA,NA
Chile,2006,10133,61.52892549
Chile,2007,10477,62.98827638
Chile,2008,12746,75.88895492
Chile,2009,13178,77.7200071
Chile,2010,13009,76.01517569
Chile,2011,15681,90.80157098
Colombia,2003,NA,NA
Colombia,2004,4350,10.26289236
Colombia,2005,4592,10.66900666
Colombia,2006,6811,15.58704648
Colombia,2007,7139,16.09611148
Colombia,2008,6821,15.15583042
Colombia,2009,7670,16.80026418
Colombia,2010,6725,14.52645663
Colombia,2011,8039,17.1308172
Costa Rica,2003,NA,NA
Costa Rica,2004,NA,NA
Costa Rica,2005,NA,NA
Costa Rica,2006,4982,113.6970483
Costa Rica,2007,5333,119.7725019
Costa Rica,2008,5643,124.7864941
Costa Rica,2009,6502,141.6313968
Costa Rica,2010,6511,139.7544092
Costa Rica,2011,6503,137.5837684
Cote d'Ivoire,2003,NA,NA
Cote d'Ivoire,2004,NA,NA
Cote d'Ivoire,2005,NA,NA
Cote d'Ivoire,2006,NA,NA
Cote d'Ivoire,2007,858,4.601337048
Cote d'Ivoire,2008,716,3.770999821
Cote d'Ivoire,2009,NA,NA
Cote d'Ivoire,2010,NA,NA
Cote d'Ivoire,2011,NA,NA
Croatia,2003,549,12.31884399
Croatia,2004,485,10.90004724
Croatia,2005,622,14.00274562
Croatia,2006,610,13.75797822
Croatia,2007,681,15.38637075
Croatia,2008,761,17.22347997
Croatia,2009,658,14.91771227
Croatia,2010,567,12.87661838
Croatia,2011,561,12.76287891
Cyprus,2003,NA,NA
Cyprus,2004,137,13.48682721
Cyprus,2005,112,10.84680629
Cyprus,2006,101,9.634903918
Cyprus,2007,128,12.04108644
Cyprus,2008,97,9.006491173
Cyprus,2009,78,7.152859356
Cyprus,2010,79,7.158085873
Cyprus,2011,77,6.896156423
Czech Republic,2003,1898,18.60907097
Czech Republic,2004,1909,18.71263171
Czech Republic,2005,1849,18.09084717
Czech Republic,2006,1615,15.74258812
Czech Republic,2007,1689,16.37655409
Czech Republic,2008,1680,16.18909011
Czech Republic,2009,1730,16.57130186
Czech Republic,2010,1811,17.25919092
Czech Republic,2011,2086,19.80199336
Egypt,2003,NA,NA
Egypt,2004,NA,NA
Egypt,2005,NA,NA
Egypt,2006,154,0.203788742
Egypt,2007,169,0.219647189
Egypt,2008,194,0.247691306
Egypt,2009,199,0.249635573
Egypt,2010,171,0.210796018
Egypt,2011,114,0.138120258
El Salvador,2003,NA,NA
El Salvador,2004,NA,NA
El Salvador,2005,NA,NA
El Salvador,2006,NA,NA
El Salvador,2007,808,13.24401708
El Salvador,2008,572,9.331724535
El Salvador,2009,1917,31.11799303
El Salvador,2010,2231,36.02458456
El Salvador,2011,658,10.56605301
Estonia,2003,215,15.90289618
Estonia,2004,526,39.00777857
Estonia,2005,402,29.86944378
Estonia,2006,354,26.33854102
Estonia,2007,244,18.16999821
Estonia,2008,368,27.41879603
Estonia,2009,309,23.0317025
Estonia,2010,NA,NA
Estonia,2011,NA,NA
Finland,2003,1581,30.34202428
Finland,2004,1765,33.7730075
Finland,2005,1919,36.59181648
Finland,2006,2728,51.80465543
Finland,2007,2326,43.96617213
